,1 - id,Prediction
0,TEST1,TypeA
1,TEST2,TypeB
2,TEST3,TypeB
3,TEST4,TypeA
4,TEST5,TypeB
5,TEST6,TypeB
6,TEST7,TypeB
7,TEST8,TypeB
8,TEST9,TypeB
9,TEST10,TypeB
10,TEST11,TypeA
11,TEST12,TypeA
12,TEST13,TypeB
13,TEST14,TypeB
14,TEST15,TypeB
15,TEST16,TypeB
16,TEST17,TypeB
17,TEST18,TypeA
18,TEST19,TypeB
19,TEST20,TypeB
20,TEST21,TypeA
21,TEST22,TypeA
22,TEST23,TypeB
23,TEST24,TypeB
24,TEST25,TypeB
25,TEST26,TypeA
26,TEST27,TypeB
27,TEST28,TypeB
28,TEST29,TypeA
29,TEST30,TypeB
30,TEST31,TypeB
31,TEST32,TypeA
32,TEST33,TypeB
33,TEST34,TypeB
34,TEST35,TypeB
35,TEST36,TypeB
36,TEST37,TypeB
37,TEST38,TypeB
38,TEST39,TypeA
39,TEST40,TypeB
40,TEST41,TypeB
41,TEST42,TypeB
42,TEST43,TypeA
43,TEST44,TypeB
44,TEST45,TypeB
45,TEST46,TypeB
46,TEST47,TypeB
47,TEST48,TypeB
48,TEST49,TypeB
49,TEST50,TypeA
50,TEST51,TypeB
51,TEST52,TypeB
52,TEST53,TypeB
53,TEST54,TypeA
54,TEST55,TypeB
55,TEST56,TypeB
56,TEST57,TypeB
57,TEST58,TypeA
58,TEST59,TypeB
59,TEST60,TypeB
60,TEST61,TypeB
61,TEST62,TypeA
62,TEST63,TypeA
63,TEST64,TypeB
64,TEST65,TypeB
65,TEST66,TypeB
66,TEST67,TypeB
67,TEST68,TypeB
68,TEST69,TypeB
69,TEST70,TypeB
70,TEST71,TypeB
71,TEST72,TypeB
72,TEST73,TypeB
73,TEST74,TypeB
74,TEST75,TypeB
75,TEST76,TypeB
76,TEST77,TypeB
77,TEST78,TypeB
78,TEST79,TypeB
79,TEST80,TypeA
80,TEST81,TypeB
81,TEST82,TypeB
82,TEST83,TypeA
83,TEST84,TypeB
84,TEST85,TypeB
85,TEST86,TypeB
86,TEST87,TypeB
87,TEST88,TypeB
88,TEST89,TypeA
89,TEST90,TypeB
90,TEST91,TypeA
91,TEST92,TypeB
92,TEST93,TypeB
93,TEST94,TypeB
94,TEST95,TypeB
95,TEST96,TypeA
96,TEST97,TypeA
97,TEST98,TypeB
98,TEST99,TypeA
99,TEST100,TypeB
100,TEST101,TypeB
101,TEST102,TypeB
102,TEST103,TypeB
103,TEST104,TypeA
104,TEST105,TypeB
105,TEST106,TypeB
106,TEST107,TypeB
107,TEST108,TypeB
108,TEST109,TypeB
109,TEST110,TypeA
110,TEST111,TypeB
111,TEST112,TypeB
112,TEST113,TypeB
113,TEST114,TypeA
114,TEST115,TypeB
115,TEST116,TypeB
116,TEST117,TypeA
117,TEST118,TypeB
118,TEST119,TypeB
119,TEST120,TypeB
120,TEST121,TypeB
121,TEST122,TypeB
122,TEST123,TypeB
123,TEST124,TypeB
124,TEST125,TypeB
125,TEST126,TypeB
126,TEST127,TypeB
127,TEST128,TypeB
128,TEST129,TypeB
129,TEST130,TypeB
130,TEST131,TypeB
131,TEST132,TypeB
132,TEST133,TypeB
133,TEST134,TypeB
134,TEST135,TypeA
135,TEST136,TypeB
136,TEST137,TypeA
137,TEST138,TypeB
138,TEST139,TypeB
139,TEST140,TypeB
140,TEST141,TypeB
141,TEST142,TypeB
142,TEST143,TypeB
143,TEST144,TypeB
144,TEST145,TypeB
145,TEST146,TypeA
146,TEST147,TypeB
147,TEST148,TypeB
148,TEST149,TypeB
149,TEST150,TypeA
150,TEST151,TypeB
151,TEST152,TypeB
152,TEST153,TypeB
153,TEST154,TypeB
154,TEST155,TypeB
155,TEST156,TypeB
156,TEST157,TypeB
157,TEST158,TypeB
158,TEST159,TypeB
159,TEST160,TypeB
160,TEST161,TypeB
161,TEST162,TypeB
162,TEST163,TypeB
163,TEST164,TypeB
164,TEST165,TypeB
165,TEST166,TypeB
166,TEST167,TypeB
167,TEST168,TypeB
168,TEST169,TypeB
169,TEST170,TypeB
170,TEST171,TypeB
171,TEST172,TypeB
172,TEST173,TypeB
173,TEST174,TypeB
174,TEST175,TypeB
175,TEST176,TypeB
176,TEST177,TypeB
177,TEST178,TypeB
178,TEST179,TypeB
179,TEST180,TypeB
180,TEST181,TypeB
181,TEST182,TypeB
182,TEST183,TypeB
183,TEST184,TypeB
184,TEST185,TypeB
185,TEST186,TypeB
186,TEST187,TypeB
187,TEST188,TypeB
188,TEST189,TypeB
